Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
EMT: Emerging Technologies,R&D - Building Equipment,GTI,"Grid Resilient, Self-Powered, Fuel Flexible, High Efficiency Heating System",https://www.energy.gov/eere/buildings/downloads/grid-resilient-self-powered-fuel-flexible-high-efficiency-heating-system,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,Michigan Technological University,Next-Generation Desiccant-Based Gas Clothes Dryer Systems,https://www.energy.gov/eere/buildings/downloads/next-generation-desiccant-based-gas-clothes-dryer-systems,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,University of Maryland,Electrohydrodynamic Enabled Eletrochemical Membrane Dehumidifier for Separate Sensible and Latent Cooling,https://www.energy.gov/eere/buildings/downloads/electrohydrodynamic-enabled-electrochemical-membrane-dehumidifier-separate,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,Purdue University,"No Vapor-Compression, Electrochemical Looping Heat Pump (NOVEL HP)",https://www.energy.gov/eere/buildings/downloads/no-vapor-compression-electrochemical-looping-heat-pump-novel-hp,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,University of Maryland,Highly Efficient Microemulsion-Based Absorption Chillers For HVAC Application,https://www.energy.gov/eere/buildings/downloads/highly-efficient-microemulsion-based-absorption-chillers-hvac-application,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,PARC,Reduced AC Loads using RAD-AC: an Efficient Electrochemical Dehumidification Cycle,https://www.energy.gov/eere/buildings/downloads/reduced-ac-loads-using-dehumidification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,EPRI,Electrostatic Dehumidification,https://www.energy.gov/eere/buildings/downloads/electrostatic-dehumidification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,Auburn University,Separating Sensible and Latent Cooling with Electrically Charged Rotating Vortexes and Vapor Capturing Air Handler Technology,https://www.energy.gov/eere/buildings/downloads/separating-sensible-and-latent-cooling-electrically-charged-rotating,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,University of Florida,Membrane-Based Ionic Liquid Absorption System for Ultra-Efficient Dehumidification and Heating,https://www.energy.gov/eere/buildings/downloads/membrane-based-ionic-liquid-absorption-system-ultra-efficient,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,University of Maryland,Thermoelastic Active Regenerators with Giant Delta T,https://www.energy.gov/eere/buildings/downloads/thermoelastic-active-regenerators-giant-deltat,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,University of Maryland,A Novel Framework for Performance Evaluation and Design Optimization of Phase Change Material (PCM) Embedded Heat Exchangers for the Built Environment,https://www.energy.gov/eere/buildings/downloads/novel-framework-performance-evaluation-and-design-optimization-phase-change,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,AMES,High Power Density Magnetocaloric and Elastocaloric Systems,https://www.energy.gov/eere/buildings/articles/high-power-density-magnetocaloric-and-elastocaloric-systems ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,LBNL,Hybrid HVAC with Thermal Energy Storage Research and Demonstration,https://www.energy.gov/eere/buildings/articles/hybrid-hvac-thermal-energy-storage-research-and-demonstration ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,A Natural Gas-Driven Highly Efficient Thermo-Vacuum Clothes Dryer,https://www.energy.gov/eere/buildings/downloads/natural-gas-driven-highly-efficient-thermo-vacuum-clothes-dryer,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Cast Heat Exchanger using the Novel Ce-Al Alloy,https://www.energy.gov/eere/buildings/downloads/cast-heat-exchanger-using-novel-al-ce-alloy,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,"Low Cost, High Performance Polymer Composite Heat Exchangers Manufactured by Additive Manufacturing",https://www.energy.gov/eere/buildings/downloads/low-cost-high-performance-polymer-composite-heat-exchangers-produced,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Separate Sensible and Latent AC System,https://www.energy.gov/eere/buildings/downloads/desiccant-based-separate-sensible-and-latent-ac-system,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,"Drop-in, Retrofit Furnace with Maximum Efficiency – Self-Powered System",https://www.energy.gov/eere/buildings/articles/drop-retrofit-furnace-maximum-efficiency-self-powered-system ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Novel Compact Flooded Evaporators for Commercial Refrigeration,https://www.energy.gov/eere/buildings/downloads/novel-compact-flooded-evaporators-commercial-sector-refrigeration,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,High Efficiency Flammable Refrigerant Leak Event Risk Mitigation (CRADA with NAMA),https://www.energy.gov/eere/buildings/downloads/evaluation-safe-refrigerant-charge-limits-flammable-refrigerants,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Cold-Climate Integrated Heat Pump,https://www.energy.gov/eere/buildings/articles/cold-climate-integrated-heat-pump ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Liquid Piston with Spray Cooling Near Isothermal Compressor,https://www.energy.gov/eere/buildings/articles/liquid-piston-spray-cooling-near-isothermal-compressor ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Energy-Efficient Refrigerated Food Processing and Dispensing Machines for Quick-Service Restaurants,https://www.energy.gov/eere/buildings/articles/energy-efficient-refrigerated-food-processing-and-dispensing-machines-quick ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Direct Expansion HP for GWP <150,https://www.energy.gov/eere/buildings/articles/direct-expansion-hp-gwp ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Seamlessly Fuel-Flexible Heat Pump,https://www.energy.gov/eere/buildings/articles/seamlessly-fuel-flexible-heat-pump,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Next Generation Transcritical CO2 Refrigeration,https://www.energy.gov/eere/buildings/articles/next-generation-transcritical-co2-refrigeration ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Impact of Leaks in Commercial Refrigeration using Zeotropic Refrigeration,https://www.energy.gov/eere/buildings/articles/impact-leaks-commercial-refrigeration-using-zeotropic-refrigeration ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Flexible HP WH with Embedded Energy Storage,https://www.energy.gov/eere/buildings/articles/flexible-hp-wh-embedded-energy-storage ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Leak Detection in Commercial Units Using A3 Refrigerants ,https://www.energy.gov/eere/buildings/articles/leak-detection-commercial-units-using-a3-refrigerants ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,"Grid Flexible, Compact, Efficient, Indirect Evaporative Cooling Integrated with Sorption Thermal Storage",https://www.energy.gov/eere/buildings/articles/grid-flexible-compact-efficient-indirect-evaporative-cooling-integrated ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,NG Blend with Hydrogen Fuel Cooking Appliances (CRADA with SoCalGAS),https://www.energy.gov/eere/buildings/articles/ng-blend-hydrogen-fuel-cooking-appliances-crada-socalgas ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,NREL,CRADA with Palo Alto Research Center (PARC) in their Development and Analysis of a Liquid Desiccant Regeneration Technology,https://www.energy.gov/eere/buildings/downloads/reduced-ac-loads-using-dehumidification,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Solid-State Lighting,PNNL,"Integrated Daylighting, Electric Lighting, and Controls Research",https://www.energy.gov/eere/ssl/downloads/integrated-daylighting-electric-lighting-and-controls-research,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Solid-State Lighting,Massachusetts Institute of Technology,Multifunctional Optical Outcouplers for Efficient and Stable White OLEDs,https://www.energy.gov/eere/ssl/downloads/multifunctional-optical-outcouplers-efficient-and-stable-white-organic-light,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Solid-State Lighting,Rensselaer Polytechnic Institute,Spatially Adaptive Tunable Lighting Control System with Expanded Wellness and Energy Saving Benefits,https://www.energy.gov/eere/ssl/downloads/spatially-adaptive-tunable-lighting-control-system-expanded-wellness-and-energy,Reviewer comment summaries and scores coming soon.,
