ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment
541,BP's Helios Plaza,Natural Gas,Data Centers | Office Buildings and Skyscrapers,Combustion Turbine,Space Cooling,http://www.chptap.org/Data/projects/Helios_Plaza-Project_Profile.pdf,Houston,TX,Southcentral,4600,2009,531312 Nonresidential Property Managers,1,
542,Arizona State University,Natural Gas,Universities and Colleges,Combustion Turbine | Steam Turbine,Space Heating | Steam,http://www.chptap.org/Data/projects/Arizona_State_University-Project_Profile.pdf,Tempe,AZ,Western,9000,2006,"611310 Colleges, Universities and Professional Schools",1,
543,Dell Children's Medical Center & Austin Energy,Natural Gas,Healthcare  | Utilities,Combustion Turbine,Space Cooling | Steam,http://www.chptap.org/Data/projects/Dell_Childrens_Medical_Center-Project_Profile.pdf,Austin,TX,Southcentral,4300,2007,622110 General Medical and Surgical Hospitals,1,
544,O'Hair Shutters,Natural Gas,Manufacturing ,Reciprocating Engine,Process Heat,http://www.chptap.org/Data/projects/OHair_Shutters-Project_Profile.pdf,Lubbock,TX,Southcentral,1300,2011,321918 Other Millwork,1,
545,University of Colorado at Boulder,Natural Gas,Universities and Colleges,Combustion Turbine | Steam Turbine,Steam,http://www.chptap.org/Data/projects/CU-Boulder-Project_Profile.pdf,Boulder,CO,Upper-West,32000,1992,"611310 Colleges, Universities and Professional Schools",1,
546,Toray Plastics America,Natural Gas,Manufacturing ,Combustion Turbine | Reciprocating Engine,Process Cooling | Space Heating | Steam,http://www.chptap.org/Data/projects/TorayCHP.pdf,North Kingstown,RI,New England,20000,2002,325211 Plastics Material and Resin Manufacturing,1,
547,Boa Vista Apartments,Natural Gas,Multi-family Housing | Office Buildings and Skyscrapers,Reciprocating Engine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/boavistachp.pdf,New Bedford,MA,New England,75,2009,531110 Rental Housing,1,
548,Gurwin Jewish Nursing & Rehabilitation Center,Natural Gas,Healthcare ,Reciprocating Engine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/GurwinCHP.pdf,Commack,NY,New York-New Jersey,450,2010,623311 Continuing Care Retirement Communities,1,
549,Cokenergy,Waste Heat,Metals | Utilities,Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/Cokenergy-Project_Profile.pdf,East Chicago,IN,Midwest,95000,1998,331110 Iron and Steel Mills,1,
550,First National Bank,Natural Gas,Data Centers,Fuel Cell,Space Heating,http://www.chptap.org/Data/projects/FirstNationalBank-Project_Profile.pdf,Omaha,NE,Central,400,2013,"518210 Data Processing, Hosting and Related Services",1,
551,Northern Border Pipeline,Waste Heat,Pipelines,Organic Rankine Cycle,Electricity,http://www.chptap.org/Data/projects/NorthernBorderPipeline-Project_Profile.pdf,St. Anthony,ND,Upper-West,5500,2006,221210 Natural Gas Distribution,1,
552,Des Moines Wastewater Reclamation Authority,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,http://www.chptap.org/Data/projects/DesMoinesWastewaterReclamationAuthority-Project_Profile.pdf,Des Moines,IA,Central,4600,1992,221320 Sewage Treatment Facilities,1,
553,Pfizer - Andover,Natural Gas,Healthcare ,Combustion Turbine,Process Heat | Space Heating | Steam,http://www.chptap.org/Data/projects/PfizerAndover_FINAL.pdf,Andover,MA,New England,10000,1999,325411 Medicinal and Botanical Manufacturing,1,
554,Houweling's Tomatoes,Natural Gas,Agriculture,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/houweling-tomatoes.pdf,Camarillo,CA,Western,12500,2012,111219 Other Vegetable (except Potato) and Melon Farming,1,
555,F-D-S Manufacturing Company,Natural Gas,Manufacturing ,Microturbine | Other,Electricity | Process Cooling | Process Heat,http://www.chptap.org/Data/projects/fds-manufacturing.pdf,Pomona,CA,Western,390,2009,326199 All Other Plastics Product Manufacturing,1,
556,Chabot College Olympic Pool,Natural Gas,Universities and Colleges,Reciprocating Engine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/chabot-college-swimming-pool-Project_Profile.pdf,Hayward,CA,Western,300,2003,"611310 Colleges, Universities and Professional Schools",1,
